iter	Passed	Remaining
468	746	844
469	747	842
470	748	840
471	749	838
472	751	837
473	753	835
474	754	833
475	756	832
476	757	830
477	759	829
478	760	827
479	762	825
480	763	823
481	765	822
482	767	821
483	768	819
484	770	817
485	772	816
486	773	814
487	775	813
488	776	811
489	778	810
490	779	808
491	781	806
492	782	805
493	784	803
494	785	801
495	787	799
496	788	798
497	789	796
498	791	794
499	793	793
500	794	791
501	795	789
502	797	788
503	799	786
504	800	785
505	802	783
506	804	781
507	805	780
508	807	778
509	808	777
510	810	775
511	811	773
512	813	772
513	814	770
514	816	768
515	817	766
516	818	765
517	820	763
518	822	761
519	823	760
520	825	758
521	826	756
522	827	755
523	829	753
524	831	752
525	832	750
526	834	749
527	836	747
528	837	745
529	839	744
530	840	742
531	842	740
532	843	739
533	845	737
534	847	736
535	848	734
536	850	732
537	851	731
538	852	729
539	854	727
540	856	726
541	857	724
542	859	723
543	860	721
544	862	720
545	864	718
546	865	716
547	866	715
548	868	713
549	869	711
550	871	710
551	872	708
552	874	706
553	876	705
554	877	703
555	879	702
556	880	700
557	881	698
558	883	696
559	884	695
560	886	693
561	887	692
562	889	690
563	890	688
564	892	686
565	894	685
566	895	684
567	897	682
568	898	680
569	899	678
570	901	677
571	903	675
572	904	674
573	906	672
574	907	670
575	908	668
576	910	667
577	911	665
578	913	663
579	914	662
580	915	660
581	917	658
582	918	657
583	920	655
584	921	653
585	923	652
586	924	650
587	926	648
588	927	647
589	928	645
590	930	643
591	931	642
592	933	640
593	935	639
594	936	637
595	938	635
596	939	634
597	940	632
598	942	631
599	944	629
600	945	627
601	946	626
602	948	624
603	950	622
604	951	621
605	953	619
606	954	617
607	956	616
608	957	614
609	959	613
610	960	611
611	961	609
612	962	607
613	964	606
614	966	604
615	967	603
616	968	601
617	970	599
618	971	598
619	973	596
620	974	595
621	975	593
622	977	591
623	978	589
624	980	588
625	981	586
626	982	584
627	984	583
628	985	581
629	987	579
630	988	578
631	990	576
632	992	575
633	993	573
634	994	571
635	996	570
636	998	568
637	999	566
638	1000	565
639	1001	563
640	1003	561
641	1004	560
642	1006	558
643	1007	557
644	1009	555
645	1010	553
646	1011	551
647	1013	550
648	1014	548
649	1016	547
650	1017	545
651	1019	544
652	1021	542
653	1022	541
654	1024	539
655	1025	537
656	1026	535
657	1027	534
658	1029	532
659	1030	531
660	1032	529
661	1033	527
662	1034	525
663	1036	524
664	1037	522
665	1039	521
666	1040	519
667	1041	517
668	1043	516
669	1045	514
670	1046	513
671	1048	511
672	1049	509
673	1050	508
674	1051	506
675	1053	504
676	1054	503
677	1056	501
678	1057	500
679	1059	498
680	1060	496
681	1062	495
682	1064	493
683	1065	492
684	1067	490
685	1069	489
686	1070	487
687	1071	486
688	1073	484
689	1074	482
690	1076	481
691	1077	479
692	1079	478
693	1080	476
694	1082	474
695	1083	473
696	1085	471
697	1086	470
698	1088	468
699	1089	467
700	1091	465
701	1093	464
702	1094	462
703	1095	460
704	1097	459
705	1098	457
706	1100	456
707	1102	454
708	1103	452
709	1104	451
710	1106	449
711	1107	448
712	1109	446
713	1110	445
714	1112	443
715	1114	441
716	1115	440
717	1117	438
718	1118	437
719	1120	435
720	1121	433
721	1122	432
722	1124	430
723	1126	429
724	1127	427
725	1129	426
726	1130	424
727	1132	423
728	1133	421
729	1135	419
730	1136	418
731	1138	416
732	1140	415
733	1141	413
734	1143	412
735	1144	410
736	1146	409
737	1148	407
738	1149	405
739	1150	404
740	1152	402
741	1153	401
742	1155	399
743	1157	398
744	1158	396
745	1160	395
746	1161	393
747	1163	391
748	1164	390
749	1166	388
750	1167	387
751	1169	385
752	1171	384
753	1173	382
754	1174	381
755	1176	379
756	1177	378
757	1179	376
758	1181	375
759	1182	373
760	1184	371
761	1185	370
762	1187	368
763	1188	367
764	1190	365
765	1191	364
766	1193	362
767	1194	360
768	1196	359
769	1197	357
770	1199	356
771	1200	354
772	1202	353
773	1205	351
774	1207	350
775	1209	349
776	1211	347
777	1213	346
778	1215	344
779	1217	343
780	1218	341
781	1220	340
782	1222	338
783	1224	337
784	1226	335
785	1228	334
786	1230	332
787	1231	331
788	1233	329
789	1234	328
790	1235	326
791	1237	325
792	1238	323
793	1240	321
794	1241	320
795	1243	318
796	1245	317
797	1246	315
798	1247	313
799	1249	312
800	1250	310
801	1252	309
802	1254	307
803	1255	306
804	1257	304
805	1258	302
806	1260	301
807	1262	299
808	1263	298
809	1265	296
810	1266	295
811	1268	293
812	1269	292
813	1271	290
814	1272	288
815	1274	287
816	1275	285
817	1277	284
818	1278	282
819	1280	281
820	1281	279
821	1283	277
822	1284	276
823	1286	274
824	1287	273
825	1288	271
826	1290	269
827	1291	268
828	1293	266
829	1294	265
830	1296	263
831	1298	262
832	1299	260
833	1301	259
834	1302	257
835	1304	255
836	1305	254
837	1307	252
838	1308	251
839	1310	249
840	1312	248
841	1313	246
842	1315	244
843	1316	243
844	1318	241
845	1319	240
846	1320	238
847	1322	236
848	1323	235
849	1325	233
850	1327	232
851	1328	230
852	1330	229
853	1332	227
854	1333	226
855	1335	224
856	1336	223
857	1338	221
858	1339	219
859	1341	218
860	1343	216
861	1344	215
862	1346	213
863	1347	212
864	1348	210
865	1350	208
866	1351	207
867	1353	205
868	1355	204
869	1356	202
870	1358	201
871	1359	199
872	1361	198
873	1362	196
874	1364	194
875	1365	193
876	1366	191
877	1368	190
878	1369	188
879	1371	186
880	1373	185
881	1374	183
882	1375	182
883	1377	180
884	1378	179
885	1380	177
886	1382	176
887	1383	174
888	1385	172
889	1386	171
890	1388	169
891	1389	168
892	1390	166
893	1392	165
894	1393	163
895	1394	161
896	1396	160
897	1398	158
898	1400	157
899	1402	155
900	1403	154
901	1405	152
902	1406	151
903	1408	149
904	1409	147
905	1411	146
906	1413	144
907	1414	143
908	1416	141
909	1417	140
910	1418	138
911	1420	137
912	1422	135
913	1423	133
914	1424	132
915	1425	130
916	1427	129
917	1429	127
918	1430	126
919	1431	124
920	1433	122
921	1435	121
922	1436	119
923	1437	118
924	1439	116
925	1440	115
926	1441	113
927	1443	112
928	1445	110
929	1446	108
930	1448	107
931	1449	105
932	1451	104
933	1452	102
934	1454	101
935	1455	99
936	1456	97
937	1458	96
938	1460	94
939	1461	93
940	1463	91
941	1464	90
942	1466	88
943	1468	87
944	1469	85
945	1470	83
946	1472	82
947	1474	80
948	1476	79
949	1477	77
950	1478	76
951	1480	74
952	1481	73
953	1483	71
954	1485	69
955	1486	68
956	1487	66
957	1489	65
958	1490	63
959	1492	62
960	1493	60
961	1495	59
962	1496	57
963	1498	55
964	1500	54
965	1501	52
966	1503	51
967	1504	49
968	1506	48
969	1507	46
970	1509	45
971	1510	43
972	1511	41
973	1513	40
974	1514	38
975	1516	37
976	1517	35
977	1519	34
978	1520	32
979	1522	31
980	1524	29
981	1525	27
982	1527	26
983	1528	24
984	1529	23
985	1531	21
986	1532	20
987	1534	18
988	1535	17
989	1537	15
990	1538	13
991	1540	12
992	1541	10
993	1543	9
994	1544	7
995	1546	6
996	1547	4
997	1549	3
998	1550	1
999	1552	0
