iter	Logloss
0	0.687339108
1	0.6813317124
2	0.6751002617
3	0.6689761415
4	0.6628859124
5	0.6569234627
6	0.6509624663
7	0.6456614384
8	0.6400905791
9	0.6345883324
10	0.6297746516
11	0.6242872485
12	0.6202842038
13	0.6153719636
14	0.6105291146
15	0.6062823445
16	0.6017462283
17	0.5969610928
18	0.5925916814
19	0.5877219479
20	0.5847536463
21	0.5808321375
22	0.5770740639
23	0.5727495985
24	0.5683618662
25	0.5646179095
26	0.560931874
27	0.5568018803
28	0.5535511873
29	0.5497455727
30	0.5474257177
31	0.5440576774
32	0.5402459385
33	0.5365308385
34	0.5337959341
35	0.5306065877
36	0.527836339
37	0.5244990239
38	0.5217518709
39	0.5187355093
40	0.5154416869
41	0.5122800036
42	0.5099145798
43	0.5063261694
44	0.5037195115
45	0.5017742754
46	0.4992475445
47	0.4967298962
48	0.494027793
49	0.490546765
50	0.4886289843
51	0.4864337947
52	0.4835028616
53	0.4810682543
54	0.479130959
55	0.4761248219
56	0.4739153596
57	0.4717411898
58	0.4691243593
59	0.4668157149
60	0.4645022438
61	0.4624524279
62	0.4602299904
63	0.4580238498
64	0.4559377035
65	0.4540345588
66	0.4523093295
67	0.4504991389
68	0.4479516477
69	0.4463873623
70	0.4443659361
71	0.4424811123
72	0.4403571304
73	0.4388364935
74	0.4370623219
75	0.4348985581
76	0.4330589398
77	0.4305928548
78	0.428889346
79	0.4268204047
80	0.4250720277
81	0.4230138299
82	0.420565443
83	0.4199954961
84	0.4191125364
85	0.4173400256
86	0.4161884541
87	0.4148320827
88	0.414115776
89	0.412461962
90	0.4119477045
91	0.4103231106
92	0.4093646095
93	0.4077914491
94	0.4064171979
95	0.4049477091
96	0.4029767302
97	0.4021167106
98	0.4006478446
99	0.3990804971
100	0.3976358427
101	0.3963480839
102	0.395213458
103	0.3938241297
104	0.3927624242
105	0.3912587069
106	0.3904117403
107	0.3889812288
108	0.3872231204
109	0.3859578347
110	0.384579665
111	0.3833355547
112	0.3820223646
113	0.3804424052
114	0.3795347149
115	0.3781954707
116	0.3768087374
117	0.3759357167
118	0.3749070978
119	0.3737382435
120	0.3729346399
121	0.3720667573
122	0.3706472488
123	0.36948592
124	0.3686377597
125	0.3677325865
126	0.3667525207
127	0.3656923982
128	0.3645507138
129	0.3638737477
130	0.3629609711
131	0.3624700948
132	0.3616004477
133	0.3608051482
134	0.3597810447
135	0.358913759
136	0.3582504688
137	0.357644944
138	0.3566979389
139	0.3564713147
140	0.3555752761
141	0.3550109085
142	0.3543933427
143	0.3535337902
144	0.3528261769
145	0.3522677519
146	0.3514442703
147	0.3502141991
148	0.3499111772
149	0.348912557
150	0.3485763965
151	0.3478444417
152	0.3472421867
153	0.3462565416
154	0.3457930948
155	0.344740913
156	0.3441378016
157	0.343805897
158	0.3430988286
159	0.342122292
160	0.3415283411
161	0.3406771186
162	0.3398643027
163	0.3390268079
164	0.3384506329
165	0.3376768982
166	0.3372306045
167	0.3365797964
168	0.3359051918
169	0.3353515677
170	0.3342069509
171	0.3334814318
172	0.3330740377
173	0.3323459755
174	0.3318887568
175	0.3313899138
176	0.3307823389
177	0.3299013514
178	0.3294280435
179	0.3287584214
180	0.3283484323
181	0.3276950291
182	0.3270517726
183	0.3265053885
184	0.3261565384
185	0.3256673488
186	0.3252785611
187	0.3246121569
188	0.323614912
189	0.3228841769
190	0.3222280489
191	0.3216727899
192	0.3212503706
193	0.3208123551
194	0.3202508939
195	0.3199169652
196	0.3193850615
197	0.3190199145
198	0.3183278713
199	0.3179360215
200	0.3171887819
201	0.3166927415
202	0.3163540899
203	0.3158320213
204	0.3154016093
205	0.3152068521
206	0.3148137826
207	0.3140627284
208	0.3136039267
209	0.3131936002
210	0.3126699227
211	0.3123056321
212	0.3117071398
213	0.3111636363
214	0.3106568784
215	0.310010949
216	0.3094150517
217	0.3088258756
218	0.3083058312
219	0.3081148109
220	0.3076055099
221	0.3071131285
222	0.3068885025
223	0.3064438178
224	0.3062026614
225	0.3056296264
226	0.3051694494
227	0.3049200927
228	0.3042119863
229	0.3036730241
230	0.3033511363
231	0.3026284717
232	0.3022816716
233	0.3018020837
234	0.3014481214
235	0.301126545
236	0.3005080191
237	0.3002862217
238	0.2999390583
239	0.2995763506
240	0.2991770011
241	0.2986372344
242	0.2982616295
243	0.2977398464
244	0.2972227603
245	0.2969317274
246	0.2964718877
247	0.2959411258
248	0.2955436707
249	0.2952824288
250	0.2948869459
251	0.294588102
252	0.2942807983
253	0.2940811365
254	0.2936996668
255	0.2932085569
256	0.2927330173
257	0.292526297
258	0.292193536
259	0.2918875558
260	0.2915168036
261	0.2912979126
262	0.2909351531
263	0.2907099562
264	0.2905809571
265	0.2905047151
266	0.2902669582
267	0.2900432665
268	0.2897585136
269	0.2894249222
270	0.2891953656
271	0.2887640713
272	0.2883709758
273	0.2878404215
274	0.2872941672
275	0.2871279554
276	0.2869558788
277	0.2868164478
278	0.286523287
279	0.2861088344
280	0.2857941608
281	0.2855264313
282	0.2852776456
283	0.2850378646
284	0.2846697074
285	0.284377948
286	0.2839865652
287	0.2837435145
288	0.2835658586
289	0.2833214066
290	0.2829056046
291	0.2824408084
292	0.2821396289
293	0.2814465737
294	0.2811906776
